international_id,helmet_brand,tape_color,pregame_music_genre,locker_room_role,training_pct,uses_tinted_visor,left_skate_first,brings_backup_stick,morning_skate_attended,hydration_pct,pass_drill_success_pct,0x676f6c64656e5f7469707073,video_review_completion_pct,extra_sticks_packed,warmup_laps,bus_seat_number,autographs_signed_week,skate_hollow_inches,avg_shoot_speed,shot_power_score,sleep_hours_before_game,stick_blade_curve_mm,travel_fatigue_score,recovery_balance_minutes,selection_probability
20,TRUE,black,country,mentor,36.994902,0,1,1,0,98.15,71.2,juliett,64.59,2,1,27,3,0.644,85.81,54.97,8.43,14.71,-5.93,-70,0.150386
21,TRUE,white,pop,hype,49.468485,0,1,1,0,73.6,53.18,golf,87.79,3,4,3,2,0.98,89.84,59.81,6.58,5.15,-5.47,-90,0.502226
22,TRUE,white,rock,mentor,49.416111,0,1,1,1,97.58,79.41,uniform,83.3,3,2,51,2,0.984,83.39,52.07,6.99,5.03,-0.76,-165,0.260667
23,CCM,black,hip hop,quiet,52.227636,0,1,1,1,91.02,35.9,golf,36.03,1,6,24,4,0.619,78.18,45.82,8.57,10.09,-0.88,-112,0.514806
24,CCM,white,hip hop,quiet,51.141249,0,1,1,0,99.2,65.29,golf,61.38,0,6,36,4,0.91,76.79,44.15,7.09,8.04,-2.44,-131,0.943851
25,CCM,green,country,planner,59.146038,1,0,0,0,60.67,60.32,romeo,58.96,0,1,41,5,0.573,87.51,,6.68,10.61,-1,-175,0.298488
26,Warrior,green,pop,joker,43.409374,1,0,1,1,73.72,69.82,foxtrot,35.8,4,4,31,8,0.603,77.91,45.49,5.4,16.86,-3.14,-21,0.883306
27,Sherwood,white,hip hop,hype,38.495185,0,1,1,0,73.49,61.01,india,80.62,5,8,5,3,0.511,77.4,44.88,6.81,12.93,-0.43,-30,0.380987
28,Warrior,black,electronic,planner,28.480015,0,1,1,1,73.64,83.57,sierra,13.02,2,8,22,5,0.717,77.54,45.05,7.46,5.74,-1.33,-46,0.469315
29,TRUE,blue,metal,quiet,36.160452,0,1,1,0,47.16,81.99,lima,5.69,1,5,9,4,0.608,77.04,44.45,7.5,12.79,-1.62,-118,0.244286
30,Bauer,red,electronic,mentor,71.390794,0,1,1,0,78.49,29.72,india,72.71,4,5,10,6,0.636,77.49,44.99,7.1,10.67,-3.2,-126,0.107165
31,CCM,white,hip hop,planner,43.069316,0,0,1,1,83.77,78.82,juliett,40.02,3,3,35,6,0.71,77.61,45.13,6.85,12.97,-6.17,-140,0.19246
32,Warrior,white,metal,mentor,67.161912,0,0,1,1,94.07,83.64,bravo,35.85,3,8,23,4,0.73,76.71,44.05,8.13,10.11,-2.67,-138,0.041536
33,TRUE,black,pop,planner,69.196529,0,1,1,0,88.81,35.46,november,69.39,5,1,10,2,0.969,89.29,,7.75,12.01,-1.35,-44,0.839279
34,CCM,black,metal,mentor,68.976023,0,1,0,1,65.38,65.37,alpha,48.33,0,8,21,4,0.665,80.03,48.04,6.17,15.01,-2.28,-160,0.291382
35,Bauer,black,country,mentor,33.156274,0,1,1,1,60.07,69.93,papa,46.52,5,7,23,5,0.759,89.72,59.66,8.31,17.62,-2.63,-32,0.317978
36,TRUE,white,pop,planner,30.756047,1,0,1,0,76.9,70.55,charlie,30.91,0,8,25,8,0.819,82.07,50.48,7.2,17.22,-0.82,-136,0.925891
37,Bauer,black,hip hop,hype,40.0231,0,0,1,1,96.63,77.9,foxtrot,46.53,5,4,43,7,0.384,73.82,40.58,8.64,5.91,-0.97,-180,0.572037
38,CCM,white,pop,hype,57.102607,0,1,1,1,49.54,42.01,november,51.29,2,2,33,3,0.922,82.29,50.75,9.98,13.63,-4.56,-114,0.138513
39,CCM,black,metal,hype,43.519195,0,1,0,0,65.42,76.91,charlie,75.88,2,1,3,5,0.697,78.86,46.63,8.05,16.77,-2.08,-89,0.669857
40,Sherwood,red,pop,hype,56.029862,0,1,0,1,78.02,58.1,november,66.45,0,2,2,4,0.794,75.15,42.18,7.9,7.6,-2.02,-30,0.661186
41,Bauer,black,pop,mentor,69.606597,0,1,1,0,52.04,45.16,sierra,82.34,2,7,43,4,0.56,78.28,45.94,8.32,13.88,-0.55,-13,0.597703
42,Warrior,white,rock,planner,83.381292,0,1,1,0,85.43,59.01,kilo,73.94,3,7,51,3,0.403,68.84,34.61,7.58,5.3,-1,-121,0.07523
43,CCM,black,country,planner,58.237123,0,0,1,1,86.4,64.15,golf,33.21,2,6,3,3,0.461,78.79,46.55,5.99,5.56,-6.49,-158,0.54545
44,CCM,white,rock,quiet,74.809745,0,1,1,1,76.29,51.76,xray,45.51,0,8,21,2,0.962,66.89,32.27,8.33,6.92,-3.71,-168,0.870365
45,CCM,black,electronic,mentor,48.154891,0,0,1,1,51.92,45.75,juliett,66.34,5,5,11,2,0.734,81.83,50.2,5.78,10.01,-0.48,-15,0.57859
46,CCM,black,rock,quiet,27.99948,1,0,1,0,91.09,43.68,india,37.11,5,6,3,6,0.471,81.19,,6.36,17.18,-3.08,-75,0.448039
47,TRUE,white,country,planner,,1,1,1,1,48.67,29.2,bravo,43.31,1,6,17,6,0.464,92.11,62.53,7.52,4.25,-3.15,-165,0.836486
48,Warrior,white,country,mentor,41.204452,0,0,1,0,99.4,67.05,juliett,56.04,2,2,51,7,0.604,95.59,66.71,9.22,15.21,-2.68,-22,0.813624
49,TRUE,black,pop,quiet,43.485244,0,1,0,1,74.37,46.5,foxtrot,29.46,1,6,10,5,0.488,82.11,50.53,8.5,5.12,-1.1,-68,0.573901
50,TRUE,green,country,joker,53.215922,0,0,0,1,72.66,58.44,juliett,38.38,0,3,47,4,0.813,73.74,40.49,5.32,9.2,-1.11,-118,0.431094
51,CCM,blue,rock,joker,38.114387,0,0,1,0,63.76,65.99,mike,15.64,0,7,49,4,0.977,94.54,65.45,8.32,15.01,-3.4,-87,0.171338
52,Bauer,white,metal,planner,60.505323,0,0,0,0,75.11,68.26,hotel,36.97,2,1,28,9,0.859,75.34,42.41,9.42,17.64,-5.48,-66,0.840036
53,Bauer,green,electronic,hype,43.703802,0,1,0,1,93.24,69.57,foxtrot,18.05,1,4,48,5,0.849,64.08,28.9,5.27,6.38,-1.45,-119,0.981883
54,CCM,blue,rock,joker,46.99666,0,1,0,1,66.48,53.03,foxtrot,85,0,2,27,5,0.805,88.61,58.33,6.55,15.75,-0.98,-172,0.451237
55,Bauer,white,metal,mentor,74.499334,0,1,1,1,65.44,42.54,echo,83.9,3,7,18,6,0.589,86.11,,7.22,7.25,-3.61,-44,0.836003
56,Bauer,green,metal,quiet,42.150782,0,0,1,1,93.9,65.92,tango,80.86,3,3,23,7,0.506,73.25,39.9,6.22,15.61,-4.71,-26,0.354001
57,Bauer,white,pop,quiet,50.413559,0,1,1,1,60.16,34.27,whiskey,52.23,4,8,11,2,0.695,70.37,,7.99,13.83,-3.81,-174,0.052273
58,CCM,black,pop,quiet,40.31873,0,0,1,1,65.11,80.24,kilo,65.26,2,5,31,6,0.457,83.81,52.57,7.21,12.06,-3.75,-54,0.615103
59,Bauer,black,rock,mentor,29.829922,1,1,0,1,48.68,73.56,mike,90.05,5,7,44,4,0.507,76.28,43.54,6.56,13.1,-1.07,-39,0.195957
60,Bauer,black,hip hop,planner,46.512765,1,0,0,1,56.28,61.69,sierra,46.36,3,2,16,6,0.487,80.14,,7.06,14.93,-1.02,-24,0.311003
61,CCM,black,metal,planner,69.370394,0,1,1,1,56.12,95.54,oscar,36.25,2,3,21,4,0.485,91.3,61.56,7.23,13.32,-0.41,-78,0.084488
62,Bauer,black,rock,quiet,32.539539,0,0,1,1,90.13,72.31,papa,67.35,3,4,32,4,0.844,97.39,68.87,7.51,16.21,-1.37,-14,0.343025
63,Bauer,white,rock,hype,13.416339,0,1,0,1,98.7,63.25,november,15.07,4,6,53,8,0.972,82.38,50.86,7.48,15.23,-4.19,-20,0.196703
64,TRUE,white,rock,planner,70.265485,0,0,0,1,50.23,47.57,romeo,26.97,1,8,13,3,0.419,78.6,46.32,5.51,17.62,-1.97,-138,0.108871
65,TRUE,black,pop,quiet,41.81357,0,1,1,1,61.83,35.44,mike,16.17,0,8,8,5,0.739,81.91,50.29,5.33,14.54,-0.87,-76,0.529464
66,CCM,white,pop,planner,60.401375,1,1,1,1,52.76,83.58,golf,85.45,2,2,43,4,0.976,73.13,39.76,8.77,10.57,-13.22,-6,0.530113
67,CCM,white,electronic,quiet,35.662787,0,1,1,0,84.76,81.06,zulu,57.98,1,4,54,8,0.715,73.12,39.74,8.56,10.19,-2.31,-37,0.225914
68,Bauer,green,metal,joker,51.169686,0,0,1,1,69.67,77.37,kilo,64.83,2,3,28,4,0.587,65.93,31.12,6.95,13.82,-2.74,-159,0.779715
69,CCM,white,hip hop,quiet,43.711165,1,0,1,1,66.15,68.54,india,40.18,2,6,47,4,0.763,84.06,52.87,5.07,4.96,-0.42,-90,0.365465
70,Bauer,red,hip hop,mentor,69.53553,0,1,1,1,89.24,96.51,india,51.24,4,1,39,2,1,89.79,59.75,6.89,17,-3.83,-102,0.367507
71,CCM,red,electronic,mentor,68.913343,0,0,1,0,79.81,34.21,golf,39.68,4,8,2,7,0.725,78.6,46.32,5.9,8.41,-3.98,-97,0.019298
72,CCM,white,electronic,quiet,66.94106,0,0,0,1,72.28,53.17,romeo,50.16,4,3,33,6,0.523,84.36,,7.72,11.88,-3.37,-86,0.109442
73,CCM,black,rock,planner,56.533205,0,1,0,1,51.84,92.43,bravo,74.46,0,4,24,8,0.83,81.96,50.35,6.86,13.73,-0.89,-56,0.584463
74,TRUE,red,country,hype,16.19755,0,1,1,1,65.4,34.2,xray,46.36,3,8,19,5,0.651,91.82,62.18,7.79,17.81,-8.97,-149,0.770702
75,CCM,black,metal,planner,36.579001,0,1,1,1,46.92,54.12,victor,68.4,4,5,42,9,0.822,86.62,,9.56,6.15,-1.08,-105,0.90617
76,Bauer,black,electronic,planner,17.709576,0,0,1,1,59.68,40.96,sierra,25.93,5,6,18,2,0.445,79.16,46.99,7.34,5.11,-4.18,-140,0.464103
77,Warrior,red,metal,joker,56.974703,0,1,1,1,95.37,77.1,xray,38.33,1,4,29,7,0.464,83.28,51.94,7.95,8.06,-2.48,-176,0.698894
78,Bauer,white,metal,joker,80.634358,0,1,1,1,61.56,48.82,echo,25.89,5,8,5,8,0.502,80.95,49.14,8.8,7.84,-1.59,-98,0.826081
79,Bauer,black,hip hop,quiet,,1,1,1,1,79.02,87.9,kilo,51.37,1,5,43,3,0.9,72.07,38.48,7.74,9.53,-2.5,-116,0.183993
80,CCM,black,metal,planner,61.721796,0,0,1,0,87.65,50,whiskey,14.31,0,1,6,8,0.863,85.53,54.64,6.28,10.5,-1.77,-143,0.035105
81,TRUE,blue,metal,mentor,34.153832,0,0,1,0,63.63,72.7,tango,59.06,0,7,37,3,0.691,74.2,41.04,6.45,13.85,-0.67,-153,0.591249
82,Sherwood,black,pop,quiet,57.570093,0,1,1,1,53.02,94.27,whiskey,32.24,0,3,1,10,0.387,75.85,43.02,8.4,9.23,-5.9,-159,0.053284
83,Warrior,white,metal,quiet,65.516548,1,1,0,1,56.22,82.56,papa,79.95,4,8,4,3,0.409,83.25,51.9,6.87,9.78,-4.03,-63,0.276676
84,TRUE,white,hip hop,hype,61.678464,0,1,1,1,75.21,80.22,victor,52.01,2,6,8,2,0.529,70.46,36.55,8.16,10.25,-2.1,-36,0.057277
85,CCM,blue,rock,joker,43.111962,0,1,0,1,48.27,72.33,romeo,23.19,0,2,43,8,0.551,84.99,53.99,9.3,5.07,-7.04,-93,0.926547
86,Bauer,white,rock,mentor,42.147727,0,0,1,1,51.55,59.78,echo,28.7,0,3,11,5,0.53,85.6,54.72,8.06,17.59,-5.26,-19,0.833494
87,CCM,green,rock,quiet,76.308259,0,1,1,1,97.93,82.47,victor,44.36,4,8,14,8,0.78,74.27,41.12,8.42,10.53,-3.37,-112,0.032951
88,Warrior,red,metal,hype,46.302223,0,1,1,1,75.9,78.9,uniform,15.71,4,1,27,3,0.949,83.73,52.48,4.84,7.34,-3.34,-58,0.485253
89,Bauer,black,electronic,mentor,36.957057,0,0,1,1,58.19,53.17,quebec,98.43,1,1,31,3,0.432,73.29,39.95,6.96,14.28,-1.4,-130,0.97665
90,CCM,white,electronic,joker,36.296131,0,1,1,1,59.87,45.23,sierra,14.46,4,6,33,4,0.907,68.3,33.96,7.44,15.76,-1.72,-117,0.404446
91,Bauer,green,electronic,hype,29.554649,0,0,1,1,99.78,52.87,victor,42.86,0,1,8,8,0.663,94.74,65.69,8.53,17.81,-7.72,-71,0.298221
92,CCM,black,country,joker,35.167268,0,0,0,1,73.97,60.65,foxtrot,72.75,2,5,45,2,0.511,84.69,53.63,7.82,8.96,-1.45,-110,0.699617
93,CCM,white,electronic,quiet,52.155185,0,0,1,0,51.48,71.13,hotel,31.55,2,2,21,2,0.82,90.68,60.82,6.55,4.44,-3.45,-114,0.871106
94,Warrior,white,electronic,joker,,0,0,1,0,56.4,50.99,whiskey,59.64,1,1,52,2,0.49,80.82,48.98,8.79,5.12,-2.7,-175,0.995608
95,CCM,black,country,quiet,74.447866,0,0,1,1,86.89,51.55,november,30.78,1,5,3,4,0.742,73.82,40.58,8.11,4.93,-1.71,-126,0.114905
96,Bauer,black,hip hop,planner,50.649475,0,0,1,1,81.92,78.57,foxtrot,14.08,0,3,26,2,0.645,82.37,50.84,6.8,8.13,-2.37,-37,0.902665
97,CCM,black,pop,planner,59.567385,0,0,0,0,70.82,75.36,delta,19.01,0,7,43,3,0.643,83.71,52.45,7.36,11.75,-1.4,-107,0.443248
98,Bauer,white,rock,hype,58.557932,0,0,1,0,62.23,68.04,delta,62.5,3,5,47,6,0.444,93.51,64.21,5.29,10.3,-5.33,-64,0.78312
99,Bauer,red,country,planner,85.400045,0,0,1,1,84.79,58.46,tango,69.39,3,2,52,6,0.899,85.88,55.06,8.73,8,-1.33,-142,0.898719
100,Warrior,white,rock,mentor,45.716974,0,1,1,0,58.02,63.9,victor,69.61,3,3,13,3,0.554,72.74,39.29,8.37,11.24,-2.29,-164,0.507553
101,Warrior,black,country,planner,49.5572,0,1,1,1,65.36,27.69,romeo,42.23,2,4,50,5,0.942,88.59,58.31,7.38,9.9,-4.05,-29,0.068482
102,CCM,black,country,quiet,53.323023,0,0,1,1,94.29,41.32,delta,34.56,4,6,46,4,0.432,75.74,42.89,8.19,5.36,-1.08,-74,0.080477
103,Bauer,white,country,quiet,62.874344,0,0,1,0,60.85,83.89,quebec,58.96,1,4,36,2,0.563,81.47,49.76,8.61,13.82,-1.09,-140,0.127693
104,Sherwood,black,metal,hype,19.170648,0,1,1,1,72.45,82.96,november,42.65,4,8,26,9,0.759,78.93,46.72,5.75,4.57,-4.72,-157,0.146628
105,TRUE,black,metal,joker,45.367453,0,0,1,1,54.17,85.96,india,66.4,0,2,44,3,0.504,86.11,55.33,7.72,13.65,-1.03,-84,0.389712
106,TRUE,black,metal,quiet,30.010344,0,0,1,1,45.65,49.28,whiskey,80.31,5,4,29,5,0.595,70.83,37,6.83,8.35,-1.42,-116,0.55738
107,Bauer,white,hip hop,quiet,56.826548,0,1,0,1,67.96,67.45,charlie,47.76,1,1,2,4,0.637,78.25,45.9,7.45,5.01,-3.39,-51,0.66589
108,Bauer,red,metal,mentor,23.484819,0,1,1,1,53.55,76.88,zulu,35.48,1,3,1,4,0.994,77.74,,6.48,9.53,-1.06,-125,0.168625
109,CCM,white,hip hop,joker,50.466133,1,1,1,0,88.03,91.29,charlie,39.15,0,8,28,6,0.548,84.47,53.36,7.59,17.01,-2.24,-47,0.651917
110,Bauer,black,electronic,hype,56.808099,0,0,1,0,51.21,34.63,victor,55.33,2,5,23,2,0.862,86.48,55.78,9.2,13.62,-1.74,-121,0.919971
111,CCM,black,hip hop,planner,74.113255,0,1,0,0,94.44,55.89,victor,66.04,3,1,14,9,0.667,82.78,51.34,8.68,16.9,-1.09,-140,0.485088
112,Warrior,black,hip hop,planner,24.082585,0,0,1,1,82.54,72.84,xray,39.63,3,6,8,4,0.884,78.55,46.26,9.47,12.09,-3.69,-119,0.698334
113,Sherwood,black,pop,planner,40.156018,0,1,1,1,48.17,53.19,delta,61.6,0,8,53,3,0.482,83.25,51.9,8.91,12.97,-2.91,-145,0.36396
114,Warrior,white,pop,mentor,51.660742,0,1,1,1,61.56,65.64,uniform,32.87,2,8,31,2,0.593,82.25,50.7,8.39,4.08,-1.95,-47,0.023543
115,Bauer,red,hip hop,joker,49.949155,0,1,0,1,57.1,39.93,uniform,42.13,1,4,6,8,0.618,83.65,52.38,7.81,6.01,-0.53,-76,0.040004
116,Bauer,black,pop,planner,56.969985,0,1,0,1,99.77,84.77,november,26.97,4,4,40,5,0.751,70.83,37,8.05,16.25,-2.1,-170,0.103789
117,Bauer,black,country,quiet,54.173351,0,0,1,1,65.77,69.07,uniform,59.39,0,1,53,5,0.886,88.41,58.09,8.45,13.35,-2.31,-49,0.225594
118,Bauer,white,metal,quiet,46.612327,0,1,1,1,50.7,71.19,bravo,38.87,0,5,36,11,0.407,71.62,37.94,8.67,13.77,-3.91,-81,0.567746
119,Bauer,white,electronic,planner,65.662699,0,0,1,1,87.88,94.79,november,84.64,2,3,21,8,0.462,86.96,,7,9.24,-0.7,-88,0.143312
120,Bauer,black,hip hop,quiet,49.392919,0,0,0,0,59.42,38.76,lima,54.95,1,1,9,3,0.972,97.66,69.19,7.28,11.41,-1.69,-70,0.246896
121,Bauer,black,electronic,mentor,37.894858,0,1,1,1,57.33,44.47,sierra,42.06,5,4,11,3,0.683,69.83,35.8,5.64,16.8,-2.62,-70,0.905355
122,Bauer,white,rock,planner,45.430694,0,0,1,0,51.32,68.56,romeo,49.59,5,3,16,2,0.701,81.56,,6.54,9.49,-3.3,-65,0.891446
123,Sherwood,white,pop,quiet,37.730173,0,1,1,1,91.56,72.15,whiskey,31.71,4,8,43,5,0.611,79.08,46.9,8.59,8.23,-2.47,-25,0.477721
124,CCM,white,metal,quiet,56.495399,1,1,1,1,66.96,92.33,delta,40.93,5,2,25,4,0.843,77.48,44.98,6.53,4.44,-0.45,-137,0.397912
125,TRUE,blue,hip hop,quiet,38.338801,1,1,1,0,99.13,64.21,whiskey,40.94,5,2,12,2,0.688,81.14,49.37,7.21,14.79,-2.01,-47,0.981819
126,Warrior,black,metal,planner,21.002316,0,0,1,1,62.31,53.96,quebec,72.36,5,6,31,4,0.964,83.97,52.76,7.15,12.54,-8.18,-128,0.738765
127,CCM,white,country,planner,40.193688,0,0,1,0,51.18,84.06,india,73.05,0,7,7,7,0.56,74.32,41.18,8.63,7.73,-5.51,-46,0.390718
128,CCM,white,country,joker,62.932899,0,1,1,1,59.2,85.92,juliett,35.43,5,8,2,1,0.859,74.38,41.26,7.27,16.46,-2.53,-12,0.688699
129,Warrior,black,country,hype,64.170732,0,1,1,1,53.4,88.41,foxtrot,29.71,1,5,13,10,0.416,78.37,46.04,7.43,6.54,-0.51,-86,0.893314
130,CCM,white,rock,joker,73.707865,0,0,0,1,62.98,38.97,tango,79.46,4,6,16,2,0.475,71.04,37.25,7,11.73,-3.89,-115,0.948226
131,CCM,black,pop,hype,,0,1,1,1,87.32,56.8,alpha,83.1,3,4,11,3,0.832,83.11,51.73,8.62,4.05,-2.85,-147,0.282804
132,Bauer,white,hip hop,hype,48.755379,0,1,0,0,90.04,54.03,victor,38.64,0,5,19,3,0.908,87.8,57.36,7.19,6.3,-1.11,-45,0.925738
133,TRUE,white,metal,quiet,46.018982,0,1,1,1,82.48,56.52,sierra,32.69,5,6,30,5,0.76,82.56,51.07,7.85,15.16,-1.85,-152,0.731006
134,CCM,black,metal,joker,31.113081,1,1,1,1,88.39,47.86,zulu,15.92,0,3,29,2,0.629,82.59,51.11,6.92,9.96,-2.6,-34,0.242716
135,Bauer,black,rock,planner,28.117607,0,1,1,1,69.6,37.82,charlie,66.12,0,7,47,3,0.456,79.44,47.33,6.94,15.96,-3.69,-162,0.894581
136,Warrior,white,electronic,quiet,57.444409,0,1,1,1,56.16,66.92,golf,61.91,4,7,33,10,0.879,72.28,38.74,6.7,15.7,-4.49,-70,0.535252
137,Bauer,black,hip hop,planner,27.532949,0,0,1,1,63.79,64.26,mike,51.98,2,7,21,2,0.931,78.12,45.74,5.96,13.41,-3.49,-108,0.165941
138,Sherwood,white,metal,hype,35.945524,0,0,1,1,79.31,82.55,quebec,85.92,3,2,23,5,0.91,79.01,46.81,5.68,6.8,-3.58,-39,0.729855
139,Warrior,white,rock,quiet,43.318212,0,0,1,1,95.89,80.88,zulu,74.67,4,4,49,5,0.686,88.54,,8.39,8.41,-4.27,-173,0.376971
140,Warrior,blue,hip hop,joker,44.823405,0,1,1,1,55.89,69.9,india,30.04,1,3,40,7,0.517,92.71,,8.64,14.12,-0.34,-41,0.39052
141,Bauer,black,metal,planner,,0,0,0,0,81.17,83.01,zulu,71.01,2,8,33,4,0.411,68.44,34.13,8.67,11.62,-0.28,-165,0.950702
142,CCM,red,pop,hype,62.076661,1,1,1,0,96.87,85.04,golf,89.53,4,1,41,2,0.432,83.22,51.86,6.06,8.17,-4.41,-35,0.496042
143,Bauer,white,country,planner,44.20115,1,0,0,1,55.1,40.86,bravo,60.55,0,6,13,10,0.469,88.66,,6.46,13.46,-1.26,-116,0.328318
144,CCM,white,rock,joker,57.564316,0,0,1,0,47.84,62.89,hotel,84.96,2,6,24,7,0.9,83.58,52.3,8.61,9.17,-0.21,-63,0.847899
145,Warrior,green,metal,joker,53.591882,0,0,1,1,68.38,52.13,papa,60.15,0,7,37,10,0.401,85.66,54.79,7.64,14.88,-8.37,-160,0.525716
146,Bauer,white,hip hop,planner,50.551708,0,1,1,1,49.31,79.11,november,67.27,3,6,12,4,0.395,74.48,41.38,5.6,7.82,-0.63,-61,0.957017
147,Warrior,red,metal,planner,55.234845,0,0,1,0,76.09,50.21,victor,73.68,0,4,8,9,0.519,77.91,45.49,5.49,7.29,-1.64,-40,0.932979
148,CCM,black,country,joker,88.205775,1,0,1,0,77.97,39.15,mike,92.38,4,4,43,7,0.74,76.24,43.49,7.74,10.5,-2.99,-27,0.994344
149,Sherwood,blue,metal,quiet,51.860581,0,1,1,1,93.58,61.54,foxtrot,57.4,1,4,24,3,0.469,85.8,54.96,8.67,12.62,-1.17,-68,0.889527
150,CCM,green,electronic,joker,49.794316,0,0,1,1,55.24,58.92,lima,57.41,2,5,12,3,0.991,89.25,59.1,7.18,10.62,-2.05,-56,0.256238
151,CCM,black,hip hop,quiet,33.652702,1,1,0,1,89.98,75.8,india,53.79,0,1,18,4,0.562,84.78,53.74,7.92,14.95,-2.79,-59,0.389447
152,TRUE,white,rock,quiet,74.691576,0,1,1,1,59.4,67.35,bravo,80.13,2,2,44,4,0.897,85.3,54.36,7.08,5.13,-3.43,-72,0.828896
153,CCM,red,country,mentor,74.251369,0,1,1,1,87.74,66.14,delta,27.71,5,5,9,4,0.554,75.48,42.58,6.94,17.58,-5.77,-58,0.094066
154,Bauer,black,country,joker,53.50899,0,1,1,0,63.24,63.74,echo,35.63,0,4,45,5,0.562,82.67,51.2,6.59,12.31,-2.26,-59,0.222734
155,CCM,white,hip hop,hype,62.656313,0,1,1,1,99.56,68.35,uniform,11.06,0,1,5,9,0.98,74.45,41.34,6.79,8.46,-0.85,-126,0.024134
156,CCM,black,hip hop,joker,67.047448,0,1,1,1,82.98,74.41,xray,72.68,1,8,24,6,0.47,78.31,45.97,8.01,8.33,-2.21,-31,0.684012
157,Bauer,black,electronic,hype,59.416864,0,0,1,0,98.94,94.81,golf,65.89,3,3,48,1,0.575,92.58,,8.06,13.86,-2.34,-53,0.249995
158,TRUE,white,rock,hype,55.64582,0,0,0,0,90.25,31.02,whiskey,36.59,2,6,7,1,0.721,73.73,40.48,8.64,16.22,-1.78,-101,0.556235
159,TRUE,white,electronic,joker,56.193264,0,1,1,1,83.15,79.98,charlie,74.02,4,2,39,9,0.671,79.41,47.29,7.01,13.78,-0.99,-104,0.935337
160,CCM,white,electronic,planner,75.824575,0,1,1,1,91.91,66.05,victor,61.2,2,4,21,2,0.742,81.09,,7.14,9.33,-0.16,-127,0.098767
